ID,LINKEDIN,HRTRAINING,SICKDAYS
20428,No,Yes,11
20429,Yes,No,12
20430,Yes,Yes,6
20431,Yes,No,12
20432,No,Yes,10
20433,Yes,No,13
20434,No,No,13
20435,No,No,9
20436,No,Yes,11
20437,No,No,6
20438,Yes,No,16
20439,Yes,No,14
20440,Yes,No,9
20441,No,No,5
20442,Yes,Yes,10
20443,No,No,9
20444,No,No,8
20445,No,No,12
20446,No,No,8
20447,Yes,No,13
20448,Yes,No,10
20449,Yes,Yes,11
20450,Yes,No,12
20451,No,No,9
20452,Yes,No,10
20453,No,No,8
20454,Yes,Yes,13
20455,Yes,No,11
20456,No,No,8
20457,No,Yes,10
20458,No,Yes,9
20459,Yes,No,9
20460,Yes,Yes,5
20461,No,No,10
20462,No,Yes,6
20463,Yes,Yes,9
20464,No,No,9
20465,Yes,No,9
20466,No,No,9
20467,Yes,Yes,7
20468,Yes,No,6
20469,Yes,No,10
20470,No,No,8
20471,Yes,No,8
20472,Yes,No,12
20473,Yes,Yes,9
20474,Yes,Yes,11
20475,No,Yes,6
20476,No,No,10
20477,No,No,13
20478,No,No,13
20479,No,Yes,4
20480,Yes,No,15
20481,Yes,No,6
20482,No,No,13
20483,No,Yes,6
20484,No,Yes,14
20485,No,No,9
20486,Yes,No,7
20487,No,Yes,2
20488,Yes,Yes,11
20489,Yes,Yes,12
20490,Yes,No,8
20491,Yes,No,8
20492,Yes,No,8
20493,Yes,Yes,10
20494,No,No,9
20495,No,No,10
20496,No,No,5
20497,No,Yes,13
20498,Yes,Yes,19
20499,Yes,Yes,15
20500,Yes,No,10
20501,Yes,No,6
20502,No,No,10
20503,Yes,No,13
20504,Yes,Yes,13
20505,No,Yes,13
20506,No,No,9
20507,Yes,Yes,14
20508,No,Yes,15
20509,No,No,7
20510,Yes,No,14
20511,No,Yes,12
20512,No,No,10
20513,Yes,Yes,5
20514,No,No,11
20515,Yes,No,7
20516,Yes,No,13
20517,Yes,No,9
20518,Yes,No,7
20519,Yes,Yes,7
20520,Yes,No,11
20521,Yes,No,14
20522,Yes,Yes,11
20523,Yes,No,7
20524,Yes,No,14
20525,No,No,7
20526,No,No,14
20527,No,No,4
20528,Yes,No,12
20529,No,No,15
20530,Yes,Yes,6
20531,No,Yes,10
20532,Yes,No,5
20533,No,No,13
20534,No,No,17
20535,No,Yes,7
20536,Yes,No,12
20537,No,No,11
20538,No,Yes,10
20539,No,No,8
20540,Yes,No,9
20541,Yes,No,11
20542,Yes,Yes,13
20543,No,Yes,9
20544,No,No,11
20545,No,No,5
20546,No,Yes,10
20547,No,No,7
20548,Yes,Yes,8
20549,No,No,12
20550,Yes,No,11
20551,No,No,8
20552,Yes,Yes,9
20553,No,No,9
20554,Yes,No,7
20555,No,No,7
20556,No,No,9
20557,Yes,No,9
20558,Yes,Yes,10
20559,No,No,7
20560,Yes,No,6
20561,No,No,10
20562,Yes,Yes,14
20563,No,Yes,10
20564,No,No,11
20565,Yes,No,9
20566,Yes,Yes,10
20567,No,Yes,12
20568,No,No,11
20569,No,No,10
20570,Yes,No,8
20571,No,Yes,8
20572,Yes,No,11
20573,No,No,11
20574,No,No,8
20575,Yes,No,6
20576,No,No,10
20577,Yes,Yes,10
20578,No,Yes,14
20579,Yes,Yes,7
20580,Yes,No,6
20581,No,No,7
20582,No,Yes,12
20583,No,No,7
20584,Yes,No,7
20585,No,No,9
20586,Yes,No,16
20587,Yes,No,4
20588,No,No,7
20589,Yes,Yes,17
20590,No,Yes,6
20591,No,No,6
20592,No,No,14
20593,No,No,9
20594,No,Yes,9
20595,Yes,No,7
20596,No,No,10
20597,No,No,10
20598,No,No,8
20599,Yes,No,8
20600,Yes,Yes,14
20601,Yes,No,10
20602,Yes,Yes,16
20603,Yes,Yes,11
20604,No,Yes,9
20605,No,No,11
20606,No,No,8
20607,No,Yes,13
20608,No,Yes,12
20609,Yes,No,10
20610,No,Yes,1
20611,Yes,Yes,15
20612,No,Yes,8
20613,Yes,Yes,4
20614,No,No,11
20615,Yes,No,12
20616,No,Yes,9
20617,No,No,2
20618,No,No,11
20619,No,No,14
20620,Yes,Yes,8
20621,Yes,No,9
20622,No,No,9
20623,Yes,No,4
20624,No,No,11
20625,Yes,No,8
20626,No,No,7
20627,Yes,No,9
20628,No,Yes,8
20629,Yes,No,8
20630,No,Yes,8
20631,No,No,11
20632,Yes,No,13
20633,No,Yes,12
20634,No,No,13
20635,No,No,13
20636,No,No,12
20637,No,Yes,12
20638,Yes,No,8
20639,No,No,11
20640,No,Yes,7
20641,No,No,7
20642,No,No,9
20643,No,No,9
20644,Yes,No,10
20645,Yes,No,10
20646,Yes,No,5
20647,No,No,14
20648,No,Yes,10
20649,No,No,8
20650,No,Yes,8
20651,No,No,8
20652,Yes,No,7
20653,No,Yes,13
20654,Yes,No,4
20655,No,No,10
20656,No,Yes,17
20657,No,No,9
20658,No,No,11
20659,No,No,12
20660,No,No,10
20661,No,No,11
20662,Yes,Yes,6
20663,No,Yes,8
20664,No,No,18
20665,No,Yes,12
20666,No,No,9
20667,No,Yes,6
20668,Yes,No,10
20669,Yes,Yes,11
20670,No,No,14
20671,No,No,8
20672,Yes,No,10
20673,Yes,No,10
20674,Yes,No,11
20675,No,No,8
20676,Yes,No,5
20677,Yes,Yes,9
20678,No,Yes,10
20679,Yes,Yes,15
20680,No,No,10
20681,Yes,No,11
20682,Yes,No,10
20683,Yes,Yes,15
20684,No,No,8
20685,No,Yes,6
20686,Yes,No,14
20687,No,No,8
20688,No,Yes,8
20689,Yes,Yes,2
20690,Yes,No,5
20691,No,No,5
20692,Yes,No,14
20693,No,Yes,5
20694,No,Yes,13
20695,No,No,11
20696,No,Yes,9
20697,No,No,11
20698,Yes,No,10
20699,Yes,Yes,5
20700,Yes,Yes,9
20701,No,No,5
20702,No,Yes,10
20703,No,No,14
20704,No,Yes,10
20705,Yes,Yes,15
20706,Yes,No,12
20707,No,Yes,14
20708,No,Yes,9
20709,No,Yes,9
20710,Yes,Yes,11
20711,No,Yes,7
20712,No,No,12
20713,Yes,No,10
20714,No,Yes,10
20715,No,No,8
20716,Yes,Yes,9
20717,No,No,7
20718,No,Yes,10
20719,No,No,8
20720,No,Yes,18
20721,No,Yes,11
20722,Yes,No,9
20723,No,No,12
20724,No,No,9
20725,Yes,No,10
20726,Yes,Yes,8
20727,No,No,7
20728,Yes,No,8
20729,No,No,8
20730,No,No,8
20731,Yes,No,5
20732,No,Yes,9
20733,Yes,No,8
20734,Yes,No,11
20735,Yes,Yes,9
20736,No,Yes,18
20737,Yes,No,6
20738,No,No,9
20739,Yes,No,5
20740,Yes,Yes,10
20741,No,Yes,6
20742,No,No,9
20743,No,No,11
20744,No,No,12
20745,No,No,9
20746,Yes,No,13
20747,Yes,Yes,12
20748,No,No,12
20749,Yes,Yes,9
20750,No,Yes,13
20751,Yes,No,14
20752,Yes,No,11
20753,No,Yes,11
20754,Yes,Yes,3
20755,No,No,10
20756,No,No,14
20757,Yes,Yes,10
20758,No,No,10
20759,No,Yes,15
20760,Yes,No,12
20761,No,Yes,8
20762,No,No,13
20763,No,No,13
20764,No,No,11
20765,Yes,Yes,8
20766,Yes,No,11
20767,No,No,12
20768,No,Yes,9
20769,No,No,14
20770,Yes,Yes,21
20771,Yes,No,12
20772,No,No,8
20773,No,No,9
20774,Yes,No,14
20775,Yes,Yes,15
20776,Yes,No,13
20777,Yes,No,12
20778,No,No,10
20779,No,No,10
20780,Yes,Yes,8
20781,Yes,Yes,9
20782,No,No,10
20783,Yes,No,8
20784,Yes,No,8
20785,No,No,5
20786,Yes,No,5
20787,No,No,12
20788,Yes,Yes,6
20789,No,No,9
20790,Yes,No,12
20791,Yes,Yes,11
20792,No,No,12
20793,Yes,Yes,13
20794,Yes,No,8
20795,No,Yes,10
20796,No,Yes,8
20797,Yes,Yes,18
20798,Yes,No,12
20799,Yes,No,11
20800,Yes,No,17
20801,Yes,No,3
20802,No,Yes,12
20803,Yes,Yes,14
20804,Yes,No,9
20805,No,Yes,9
20806,Yes,Yes,12
20807,No,No,10
20808,Yes,No,14
20809,Yes,No,11
20810,Yes,No,16
20811,No,Yes,9
20812,Yes,No,9
20813,No,No,8
20814,No,No,6
20815,Yes,No,10
20816,No,Yes,13
20817,No,Yes,12
20818,No,No,12
20819,Yes,Yes,6
20820,No,No,11
20821,No,No,5
20822,Yes,No,12
20823,Yes,No,8
20824,Yes,Yes,7
20825,Yes,No,10
20826,No,Yes,9
20827,No,No,10
20828,No,Yes,5
20829,Yes,No,11
20830,No,Yes,10
20831,Yes,No,13
20832,Yes,No,11
20833,No,Yes,6
20834,No,Yes,7
20835,No,No,9
20836,No,No,10
20837,No,No,12
20838,No,No,12
20839,Yes,No,9
20840,Yes,No,16
20841,Yes,Yes,11
20842,No,No,14
20843,Yes,No,12
20844,No,No,11
20845,Yes,Yes,8
20846,No,No,12
20847,Yes,No,5
20848,No,Yes,10
20849,Yes,No,7
20850,Yes,No,16
20851,No,No,15
20852,No,Yes,5
20853,No,No,10
20854,No,No,11
20855,No,No,14
20856,Yes,No,10
20857,No,No,10
20858,No,No,9
20859,No,No,9
20860,Yes,No,16
20861,No,No,10
20862,Yes,No,10
20863,Yes,Yes,6
20864,Yes,No,10
20865,Yes,Yes,12
20866,Yes,No,13
20867,Yes,Yes,11
20868,No,No,13
20869,No,No,11
20870,No,Yes,11
20871,No,No,12
20872,No,No,12
20873,Yes,No,10
20874,Yes,No,9
20875,Yes,No,14
20876,Yes,No,9
20877,Yes,No,10
20878,No,No,15
20879,Yes,No,10
20880,Yes,Yes,13
20881,Yes,No,17
20882,Yes,No,7
20883,No,Yes,3
20884,No,No,5
20885,No,No,14
20886,No,No,11
20887,No,No,5
20888,Yes,Yes,13
20889,No,No,14
20890,No,No,9
20891,No,Yes,10
20892,Yes,No,6
20893,Yes,No,11
20894,No,No,5
20895,No,No,7
20896,Yes,Yes,9
20897,No,No,9
20898,Yes,Yes,7
20899,Yes,No,10
20900,No,No,8
20901,No,Yes,14
20902,No,No,9
20903,No,No,13
20904,No,No,14
20905,No,No,8
20906,Yes,Yes,17
20907,No,No,8
20908,Yes,No,4
20909,No,Yes,15
20910,Yes,No,9
20911,Yes,Yes,5
20912,No,No,16
20913,No,Yes,9
20914,No,Yes,7
20915,No,Yes,11
20916,Yes,No,2
20917,Yes,No,8
20918,Yes,No,11
20919,No,Yes,9
20920,No,Yes,7
20921,Yes,No,15
20922,Yes,Yes,11
20923,No,No,15
20924,Yes,Yes,14
20925,Yes,No,9
20926,Yes,No,13
20927,No,Yes,11
20928,Yes,No,9
20929,Yes,No,12
20930,Yes,Yes,9
20931,No,No,9
20932,No,No,12
20933,No,No,10
20934,No,Yes,11
20935,No,Yes,7
20936,Yes,No,16
20937,No,Yes,8
20938,No,No,10
20939,Yes,No,8
20940,Yes,No,9
20941,Yes,Yes,4
20942,No,No,7
20943,Yes,No,7
20944,Yes,Yes,13
20945,No,Yes,9
20946,Yes,No,7
20947,No,No,4
20948,Yes,No,15
20949,Yes,No,8
20950,No,No,10
20951,Yes,No,12
20952,No,Yes,14
20953,Yes,No,6
20954,No,No,15
20955,Yes,No,8
20956,No,Yes,10
20957,Yes,No,5
20958,Yes,Yes,10
20959,Yes,Yes,12
20960,No,Yes,17
20961,Yes,No,11
20962,No,Yes,12
20963,Yes,No,8
20964,Yes,No,9
20965,Yes,No,12
20966,Yes,No,12
20967,Yes,Yes,7
20968,Yes,No,11
20969,Yes,No,12
20970,Yes,No,9
20971,No,No,9
20972,Yes,No,13
20973,Yes,No,10
20974,Yes,No,10
20975,No,Yes,12
20976,No,No,11
20977,No,Yes,8
20978,Yes,Yes,7
20979,Yes,No,7
20980,Yes,Yes,8
20981,No,Yes,8
20982,No,Yes,15
20983,No,No,6
20984,Yes,No,7
20985,Yes,No,15
20986,Yes,Yes,7
20987,Yes,No,11
20988,Yes,No,7
20989,Yes,No,4
20990,No,Yes,8
20991,No,No,13
20992,No,No,9
20993,Yes,No,7
20994,No,No,10
20995,Yes,Yes,5
20996,No,No,13
20997,No,No,6
20998,Yes,Yes,4
20999,Yes,No,8
21000,Yes,No,12
21001,Yes,Yes,10
21002,No,Yes,10
21003,No,No,11
21004,No,Yes,13
21005,Yes,Yes,9
21006,Yes,No,8
21007,Yes,Yes,10
21008,Yes,No,11
21009,Yes,No,12
21010,Yes,No,1
21011,No,No,9
21012,No,No,15
21013,No,No,8
21014,Yes,No,6
21015,No,No,10
21016,Yes,Yes,6
21017,Yes,No,12
21018,Yes,No,11
21019,No,Yes,8
21020,Yes,No,2
21021,Yes,No,7
21022,Yes,No,9
21023,No,No,10
21024,Yes,No,11
21025,No,No,10
21026,Yes,Yes,19
21027,No,No,10
21028,Yes,No,14
21029,Yes,Yes,8
21030,No,No,12
21031,Yes,No,7
21032,Yes,No,6
21033,Yes,Yes,8
21034,No,No,9
21035,Yes,Yes,17
21036,No,No,13
21037,Yes,No,14
21038,No,Yes,18
21039,Yes,No,5
21040,Yes,No,6
21041,No,No,4
21042,No,No,4
21043,Yes,No,20
21044,No,Yes,9
21045,No,No,15
21046,Yes,No,12
21047,No,No,7
21048,Yes,No,9
21049,No,Yes,12
21050,No,Yes,10
21051,No,No,9
21052,Yes,No,10
21053,Yes,No,9
21054,Yes,Yes,13
21055,Yes,No,13
21056,No,Yes,9
21057,Yes,Yes,8
21058,No,Yes,13
21059,No,Yes,10
21060,Yes,No,5
21061,Yes,Yes,17
21062,Yes,No,11
21063,No,Yes,8
21064,No,No,6
21065,No,Yes,12
21066,No,Yes,6
21067,Yes,No,10
21068,No,No,10
21069,Yes,Yes,14
21070,No,No,10
21071,No,Yes,17
21072,Yes,No,8
21073,Yes,No,11
21074,Yes,Yes,9
21075,No,Yes,8
21076,Yes,No,9
21077,No,Yes,17
21078,No,Yes,11
21079,Yes,No,12
21080,Yes,Yes,4
21081,Yes,No,8
21082,No,No,2
21083,Yes,No,13
21084,Yes,No,15
21085,No,No,12
21086,Yes,No,11
21087,No,No,11
21088,Yes,Yes,11
21089,Yes,No,6
21090,Yes,No,8
21091,Yes,No,8
21092,Yes,No,10
21093,No,No,8
21094,Yes,Yes,6
21095,No,Yes,8
21096,No,No,8
21097,Yes,No,14
21098,Yes,No,11
21099,Yes,No,8
21100,No,Yes,7
21101,No,No,10
21102,No,No,11
21103,No,No,11
21104,Yes,Yes,10
21105,Yes,Yes,13
21106,No,No,15
21107,No,No,5
21108,Yes,No,13
21109,Yes,No,12
21110,No,No,16
21111,No,Yes,10
21112,Yes,No,12
21113,Yes,Yes,13
21114,Yes,Yes,10
21115,No,No,8
21116,Yes,Yes,19
21117,No,No,13
21118,No,No,15
21119,No,No,8
21120,No,Yes,12
21121,No,No,7
21122,No,Yes,9
21123,Yes,No,8
21124,No,No,6
21125,Yes,Yes,15
21126,No,No,12
21127,No,No,9
21128,No,No,7
21129,Yes,No,11
21130,No,No,9
21131,No,Yes,10
21132,No,No,4
21133,Yes,No,11
21134,Yes,No,12
21135,Yes,No,8
21136,Yes,No,4
21137,Yes,No,7
21138,Yes,No,13
21139,Yes,No,9
21140,No,No,6
21141,No,Yes,13
21142,Yes,Yes,6
21143,Yes,No,14
21144,No,Yes,8
21145,Yes,No,13
21146,No,Yes,9
21147,Yes,Yes,6
21148,Yes,No,4
21149,No,No,12
21150,Yes,No,11
21151,Yes,No,8
21152,Yes,Yes,9
21153,No,No,15
21154,Yes,No,14
21155,No,No,9
21156,Yes,Yes,9
21157,No,No,11
21158,No,No,8
21159,Yes,No,7
21160,No,No,8
21161,Yes,Yes,8
21162,No,No,9
21163,No,No,14
21164,Yes,No,8
21165,Yes,Yes,11
21166,Yes,Yes,12
21167,Yes,Yes,10
21168,Yes,No,13
21169,No,No,9
21170,Yes,No,7
21171,Yes,No,13
21172,Yes,Yes,14
21173,Yes,No,11
21174,Yes,No,11
21175,No,No,14
21176,Yes,Yes,8
21177,Yes,No,10
21178,No,No,11
21179,Yes,No,7
21180,No,Yes,11
21181,No,Yes,12
21182,Yes,Yes,19
21183,No,No,8
21184,Yes,No,12
21185,No,No,9
21186,Yes,Yes,5
21187,Yes,No,6
21188,Yes,No,10
21189,No,No,8
21190,No,No,11
21191,Yes,No,11
21192,Yes,No,14
21193,No,Yes,9
21194,Yes,No,7
21195,No,No,12
21196,No,No,8
21197,No,No,14
21198,No,Yes,10
21199,Yes,Yes,15
21200,Yes,Yes,13
21201,Yes,No,10
21202,Yes,No,12
21203,Yes,No,12
21204,Yes,No,14
21205,Yes,No,8
21206,No,Yes,10
21207,No,No,16
21208,No,No,12
21209,No,No,11
21210,Yes,No,7
21211,No,Yes,13
21212,No,No,11
21213,Yes,No,17
21214,Yes,No,13
21215,Yes,No,9
21216,Yes,No,11
21217,Yes,No,14
21218,No,No,14
21219,No,Yes,11
21220,No,No,11
21221,No,No,5
21222,No,No,16
21223,Yes,No,7
21224,No,No,6
21225,No,Yes,6
21226,Yes,No,7
21227,No,No,8
21228,No,No,10
21229,Yes,No,6
21230,No,No,6
21231,Yes,Yes,3
21232,No,Yes,11
21233,Yes,No,13
21234,No,Yes,5
21235,No,No,9
21236,Yes,No,12
21237,No,No,12
21238,No,Yes,8
21239,Yes,No,10
21240,Yes,No,4
21241,No,No,17
21242,Yes,No,11
21243,No,No,11
21244,No,No,11
21245,No,No,14
21246,Yes,No,9
21247,Yes,No,15
21248,Yes,Yes,9
21249,Yes,Yes,10
21250,Yes,No,9
21251,Yes,Yes,8
21252,No,Yes,10
21253,No,No,11
21254,Yes,Yes,8
21255,Yes,No,14
21256,No,Yes,15
21257,No,Yes,13
21258,No,Yes,8
21259,Yes,No,9
21260,No,Yes,8
21261,No,No,10
21262,Yes,No,13
21263,No,No,7
21264,Yes,Yes,14
21265,No,No,14
21266,Yes,Yes,12
21267,No,No,3
21268,No,No,11
21269,No,No,8
21270,Yes,No,9
21271,Yes,Yes,11
21272,Yes,No,13
21273,No,No,7
21274,Yes,No,3
21275,No,No,9
21276,No,No,11
21277,Yes,Yes,11
21278,No,Yes,10
21279,Yes,No,11
21280,No,No,13
21281,Yes,Yes,9
21282,Yes,No,9
21283,No,No,5
21284,Yes,No,6
21285,Yes,Yes,12
21286,No,Yes,9
21287,Yes,No,11
21288,Yes,No,8
21289,Yes,No,6
21290,No,Yes,11
21291,Yes,No,6
21292,No,No,9
21293,Yes,No,6
21294,Yes,No,8
21295,No,No,10
21296,No,No,11
21297,No,Yes,12
21298,No,No,11
21299,Yes,No,10
21300,Yes,Yes,11
21301,Yes,No,11
21302,No,Yes,6
21303,Yes,No,12
21304,No,Yes,8
21305,Yes,No,12
21306,No,No,11
21307,Yes,No,7
21308,Yes,No,11
21309,No,No,7
21310,No,No,11
21311,Yes,No,9
21312,No,No,5
21313,Yes,No,12
21314,Yes,No,10
21315,Yes,Yes,8
21316,Yes,Yes,9
21317,Yes,Yes,13
21318,No,No,8
21319,Yes,No,5
21320,No,No,6
21321,No,No,7
21322,Yes,No,11
21323,Yes,Yes,15
21324,No,No,5
21325,No,No,15
21326,No,No,8
21327,No,Yes,9
21328,No,No,11
21329,Yes,Yes,14
21330,No,Yes,5
21331,Yes,Yes,18
21332,Yes,Yes,9
21333,Yes,No,12
21334,Yes,No,10
21335,No,Yes,6
21336,Yes,Yes,16
21337,No,Yes,11
21338,No,No,14
21339,No,Yes,12
21340,Yes,No,9
21341,No,No,12
21342,Yes,No,14
21343,Yes,No,12
21344,Yes,Yes,13
21345,Yes,Yes,12
21346,Yes,Yes,8
21347,Yes,No,5
21348,Yes,Yes,15
21349,Yes,No,15
21350,Yes,No,11
21351,Yes,No,9
21352,No,Yes,6
21353,Yes,No,12
21354,No,No,10
21355,No,Yes,13
21356,Yes,No,10
21357,Yes,No,10
21358,No,No,11
21359,Yes,No,7
21360,Yes,Yes,9
21361,Yes,Yes,17
21362,Yes,No,18
21363,Yes,No,14
21364,Yes,Yes,9
21365,No,No,12
21366,No,No,14
21367,Yes,Yes,8
21368,No,Yes,11
21369,No,No,9
21370,No,No,8
21371,No,No,5
21372,No,Yes,11
21373,No,Yes,9
21374,No,No,11
21375,Yes,No,11
21376,No,No,11
21377,No,No,12
21378,No,Yes,11
21379,Yes,No,14
21380,Yes,No,11
21381,Yes,Yes,8
21382,No,Yes,13
21383,No,Yes,11
21384,No,No,11
21385,Yes,Yes,14
21386,Yes,No,6
21387,Yes,Yes,14
21388,No,No,11
21389,Yes,No,6
21390,Yes,No,18
21391,Yes,No,6
21392,No,Yes,15
21393,No,No,15
21394,Yes,No,15
21395,No,Yes,9
21396,No,No,11
21397,No,No,12
21398,No,Yes,11
21399,No,No,10
21400,Yes,Yes,13
21401,No,Yes,15
21402,Yes,No,13
21403,Yes,Yes,10
21404,Yes,Yes,13
21405,Yes,No,9
21406,No,No,8
21407,Yes,No,6
21408,No,Yes,11
21409,No,Yes,9
21410,No,Yes,12
21411,No,No,12
21412,Yes,No,8
21413,No,Yes,10
21414,No,No,10
21415,Yes,No,8
21416,Yes,No,11
21417,Yes,No,8
21418,No,Yes,13
21419,Yes,No,8
21420,No,No,10
21421,Yes,No,10
21422,Yes,No,10
21423,No,No,11
21424,Yes,Yes,12
21425,Yes,No,8
21426,Yes,No,9
21427,Yes,Yes,6
21428,Yes,No,17
21429,Yes,Yes,12
21430,Yes,Yes,7
21431,Yes,No,8
21432,Yes,No,7
21433,No,No,10
21434,Yes,No,12
21435,No,No,8
21436,Yes,No,12
21437,No,No,7
21438,Yes,No,8
21439,No,No,10
21440,No,Yes,9
21441,Yes,No,9
21442,No,No,10
21443,No,No,5
21444,Yes,No,9
21445,Yes,No,11
21446,No,Yes,11
21447,No,Yes,12
21448,Yes,No,11
21449,No,No,9
21450,No,Yes,11
21451,Yes,No,8
21452,Yes,No,9
21453,Yes,No,8
21454,No,No,6
21455,No,Yes,5
21456,No,No,13
21457,Yes,No,12
21458,Yes,No,12
21459,No,Yes,13
21460,No,No,7
21461,Yes,No,6
21462,Yes,Yes,14
21463,No,No,8
21464,No,No,8
21465,No,No,7
21466,Yes,No,13
21467,No,No,12
21468,No,Yes,12
21469,No,Yes,7
21470,No,No,8
21471,No,No,7
21472,Yes,No,9
21473,Yes,No,13
21474,No,No,12
21475,No,No,11
21476,No,No,13
21477,No,No,13
21478,Yes,No,16
21479,Yes,No,5
21480,Yes,Yes,15
21481,No,Yes,7
21482,Yes,No,13
21483,Yes,No,7
21484,No,No,8
21485,No,No,12
21486,No,Yes,11
21487,Yes,No,9
21488,No,No,8
21489,No,No,7
21490,No,No,12
21491,No,No,7
21492,Yes,No,12
21493,No,Yes,15
21494,No,No,8
21495,Yes,No,15
21496,Yes,No,11
21497,No,No,9
21498,Yes,No,10
21499,Yes,Yes,11
21500,No,No,3
21501,No,No,10
21502,No,No,8
21503,No,No,11
21504,No,No,11
21505,Yes,No,12
21506,No,No,12
21507,Yes,No,9
21508,Yes,No,9
21509,Yes,No,10
21510,No,No,6
21511,No,No,8
21512,No,No,9
21513,No,No,11
21514,No,Yes,12
21515,No,No,8
21516,Yes,Yes,8
21517,No,Yes,9
21518,No,No,10
21519,Yes,No,9
21520,No,No,11
21521,Yes,No,12
21522,No,Yes,3
21523,No,No,7
21524,No,No,11
21525,Yes,No,11
21526,No,No,10
21527,Yes,Yes,9
21528,No,No,9
21529,No,Yes,10
21530,Yes,Yes,5
21531,No,No,13
21532,No,Yes,7
21533,Yes,Yes,7
21534,No,Yes,10
21535,No,No,7
21536,Yes,No,10
21537,Yes,No,6
21538,No,Yes,11
21539,Yes,No,13
21540,No,No,13
21541,Yes,Yes,11
21542,Yes,No,9
21543,Yes,No,13
21544,No,No,7
21545,Yes,No,9
21546,Yes,No,5
21547,Yes,No,13
21548,Yes,Yes,9
21549,No,Yes,11
21550,Yes,No,1
21551,No,No,9
21552,Yes,Yes,5
21553,No,Yes,10
21554,No,No,5
21555,Yes,No,13
21556,Yes,No,7
21557,Yes,No,9
21558,Yes,No,15
21559,Yes,No,7
21560,Yes,Yes,18
21561,Yes,No,12
21562,Yes,No,16
21563,No,No,14
21564,Yes,No,9
21565,Yes,Yes,9
21566,Yes,No,12
21567,Yes,No,7
21568,Yes,No,7
21569,Yes,Yes,17
21570,Yes,Yes,11
21571,Yes,No,7
21572,No,No,13
21573,No,No,8
21574,Yes,No,16
21575,Yes,No,15
21576,No,No,6
21577,No,No,15
21578,Yes,No,9
21579,No,No,10
21580,Yes,No,10
21581,Yes,Yes,9
21582,No,No,11
21583,No,Yes,8
21584,No,No,9
21585,Yes,No,13
21586,No,No,11
21587,No,No,14
21588,Yes,No,10
21589,No,Yes,12
21590,No,No,8
21591,Yes,Yes,11
21592,No,Yes,12
21593,No,No,11
21594,Yes,No,10
21595,No,No,10
21596,No,No,13
21597,No,Yes,8
21598,No,No,15
21599,No,Yes,12
21600,Yes,No,5
21601,Yes,No,14
21602,No,Yes,15
21603,No,Yes,11
21604,No,No,9
21605,No,No,6
21606,No,No,9
21607,No,Yes,9
21608,No,No,8
21609,No,No,9
21610,Yes,No,10
21611,Yes,No,12
21612,Yes,Yes,11
21613,Yes,Yes,9
21614,No,No,13
21615,Yes,No,9
21616,No,No,11
21617,Yes,No,11
21618,No,No,11
21619,Yes,Yes,10
21620,No,Yes,8
21621,Yes,Yes,10
21622,Yes,Yes,8
21623,No,No,14
21624,Yes,No,12
21625,Yes,No,12
21626,No,Yes,9
21627,No,Yes,13
21628,Yes,No,9
21629,No,No,14
21630,Yes,No,11
21631,No,No,10
21632,Yes,No,11
21633,No,No,16
21634,No,No,14
21635,Yes,No,10
21636,Yes,Yes,11
21637,Yes,No,10
21638,No,No,9
21639,No,Yes,13
21640,No,Yes,8
21641,No,No,5
21642,No,Yes,1
21643,Yes,Yes,15
21644,Yes,No,10
21645,Yes,No,9
21646,No,Yes,8
21647,No,No,4
21648,No,No,8
21649,No,No,12
21650,No,No,7
21651,Yes,Yes,8
21652,Yes,No,9
21653,No,No,9
21654,Yes,No,14
21655,Yes,Yes,11
21656,No,Yes,13
21657,Yes,No,10
21658,No,No,10
21659,Yes,Yes,6
21660,No,No,6
21661,Yes,No,10
21662,Yes,Yes,16
21663,Yes,No,11
21664,Yes,No,5
21665,Yes,Yes,9
21666,Yes,Yes,10
21667,Yes,No,1
21668,Yes,No,9
21669,No,No,11
21670,Yes,No,14
21671,No,No,10
21672,Yes,No,14
21673,No,Yes,10
21674,Yes,No,5
21675,No,No,12
21676,Yes,No,6
21677,No,No,15
21678,Yes,No,14
21679,Yes,Yes,9
21680,Yes,No,7
21681,No,No,6
21682,Yes,No,14
21683,Yes,Yes,15
21684,Yes,No,12
21685,Yes,Yes,9
21686,No,Yes,10
21687,Yes,Yes,10
21688,Yes,No,7
21689,Yes,No,9
21690,Yes,No,8
21691,No,Yes,11
21692,Yes,No,9
21693,No,No,9
21694,No,No,18
21695,No,Yes,14
21696,Yes,No,9
21697,No,No,10
21698,Yes,No,12
21699,No,No,13
21700,Yes,Yes,12
21701,No,No,9
21702,Yes,Yes,7
21703,No,Yes,9
21704,Yes,No,14
21705,No,Yes,12
21706,Yes,No,18
21707,Yes,No,8
21708,Yes,No,9
21709,No,No,11
21710,No,No,14
21711,Yes,No,14
21712,Yes,Yes,15
21713,Yes,No,12
21714,No,No,6
21715,Yes,No,9
21716,No,Yes,10
21717,No,No,10
21718,No,No,7
21719,No,Yes,11
21720,No,No,8
21721,No,Yes,13
21722,No,No,12
21723,No,No,3
21724,No,No,14
21725,No,Yes,4
21726,No,No,8
21727,Yes,No,6
21728,Yes,No,7
21729,No,Yes,15
21730,Yes,No,5
21731,Yes,No,9
21732,No,No,14
21733,Yes,No,11
21734,No,Yes,11
21735,No,Yes,8
21736,Yes,No,7
21737,Yes,No,13
21738,No,Yes,8
21739,No,No,10
